id,title,slug,pdi,idv,mas,uai,lto,ind,ivr,Continent
510,Sweden,sweden,31,71,5,29,53,78,78,Europe
511,Switzerland,switzerland,34,68,70,58,74,66,66,Europe
560,Syria*,syria,80,35,52,60,30,-1,-1,Asia
536,Taiwan,taiwan,58,17,45,69,93,49,49,Asia
529,Tanzania*,"tanzania, united republic of",70,25,40,50,34,38,38,Africa
512,Thailand,thailand,64,20,34,64,32,45,45,Asia
538,Trinidad and Tobago,"trinidad and tobago
",47,16,58,55,13,80,80,South America
7149,Tunisia*,tunisia,70,40,40,75,,,,Africa
513,Turkey,turkey,66,37,45,85,46,49,49,Asia
533,Ukraine*,ukraine,92,25,27,95,86,14,14,Asia
518,United Arab Emirates*,united arab emirates,90,25,50,80,-1,-1,-1,Asia
514,United Kingdom,united kingdom,35,89,66,35,51,69,69,Europe
515,United States,united states of america,40,91,62,46,26,68,68,North America
539,Uruguay,uruguay,61,36,38,98,26,53,53,South America
516,Venezuela,venezuela,81,12,73,76,16,100,100,South America
537,Vietnam,viet nam,70,20,40,30,57,35,35,Asia
530,Zambia*,zambia,60,35,40,50,30,42,42,Africa
