지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
90,2020-01-01,.8,-3.4,24,4.8,1330,,,,,,,10.3,270,941,5.5,290,1553,2.4,2059,-12.6,28,1312,36.1,2.3,1024.5,1028.2,920,1025.4,1416,1026.7,9.6,8.9,,,,,,,,,.3,0,-.2,-7,,,,,,,,,,,,,
90,2020-01-02,2.8,-2.1,37,6.6,1428,,,,,,,9.9,270,1256,5.8,290,1240,2.3,1959,-10,31,1128,38.6,2.9,1023,1027.7,904,1023.1,2354,1025.2,9.6,8.8,,,,,,,,,.4,0,.7,-7.1,,,,,,,,,,,,,
90,2020-01-03,4.7,.8,638,8.5,1256,,,,,,,11,270,1620,5.6,290,921,2.2,1858,-12.1,21,1204,28.9,2.4,1019.7,1023.3,16,1021.1,1452,1021.9,9.6,8.8,,,,,,,,,0,,2,-4.4,,,,,,,,,,,,,
90,2020-01-04,4,1.1,2400,8.1,1353,,,,,,,10.4,290,1207,5.6,290,1211,2.2,1863,-12.1,24,958,30.1,2.4,1020.2,1026.4,2313,1020.3,525,1022.4,9.6,8.9,,,,,,,,,0,0,1.8,-4.3,,,,,,,,,,,,,
90,2020-01-05,3.1,-.6,547,8.8,1350,,,,,,,3.7,90,1407,2.5,270,237,1.4,1184,-8.3,26,1001,43.3,3.3,1027.3,1030.8,1019,1026,101,1029.5,9.6,8.4,,,,,,,,,1.3,.6,2,-4.3,,,,,,,,,,,,,
90,2020-01-06,5.3,.9,102,8.1,1308,,,,,,0,3.1,270,706,2.4,290,438,1.2,1043,-4.7,32,1313,48.9,4.3,1024.3,1030.1,3,1023.9,2357,1026.5,9.6,.2,,,,,,,,,9,6,3,-2.5,,,,,,,,,,,,,
90,2020-01-07,6.5,4,432,10.9,2252,,,,,,58.6,9,70,2259,6,70,2320,1.4,1168,5.7,61,1,94.6,9.2,1011.3,1023.9,1,1000.8,2400,1013.5,9.6,0,,,,,,,,,10,,5.6,3.3,,,,,,,,,,,,,
90,2020-01-08,6.1,4.3,1219,10.8,3,,,,,,37.2,16.4,360,828,9.7,340,813,3.7,3233,2.8,53,2341,80.3,7.6,1008.4,1017.1,2155,996.8,246,1010.5,9.7,2,,,,,,,,,6.3,4.9,7,2.4,,,,,,,,,,,,,
90,2020-01-09,2.7,.1,2358,6.4,1432,,,,,,,10.4,290,21,5.6,290,31,1.8,1567,-6.4,35,1205,51.8,3.8,1017.6,1022.6,2231,1016.5,215,1019.8,9.7,8.8,,,,,,,,,2.3,1.1,2.4,-2.7,,,,,,,,,,,,,
90,2020-01-10,3.5,-1,650,8.9,1336,,,,,,,8.4,290,1326,4.7,290,1926,1.8,1542,-9.2,20,1409,40.6,3.1,1018.1,1022.7,121,1018,2339,1020.3,9.7,7.1,,,,,,,,,4,2,2.4,-2.4,,,,,,,,,,,,,
90,2020-01-11,3.1,.1,245,6.9,1336,,,,,,,12.3,290,434,7.6,290,456,1.8,1568,-9.2,27,1226,40.3,3.1,1014.9,1019.2,1020,1015.9,1427,1017.1,9.7,9,,,,,,,,,2.5,2,1.9,-2.9,,,,,,,,,,,,,
90,2020-01-12,2,-.3,537,5.1,1124,,,,,,,7.9,250,2339,3.5,340,1745,1.7,1503,-8.6,29,1125,45.6,3.2,1012.3,1016.1,1,1013.2,1351,1014.5,9.7,3.6,,,,,,,,,6.6,4.4,1.1,-2.3,,,,,,,,,,,,,
90,2020-01-13,.4,-2.7,2323,4.2,1315,,,,,,,11.7,290,1719,6.3,290,1723,2.6,2214,-16.1,18,1400,28.1,1.8,1016.1,1022.2,2328,1014.6,119,1018.3,9.7,9.1,,,,,,,,,.8,.4,.4,-4.7,,,,,,,,,,,,,
90,2020-01-14,-.6,-4.1,821,4.3,1515,,,,,,,6.1,50,1218,3.7,20,1245,1.7,1440,-15,18,1106,32.8,1.9,1021.4,1025.4,2333,1022,1,1023.7,9.8,8.9,,,,,,,,,.8,.3,-.6,-6.2,,,,,,,,,,,,,
90,2020-01-15,.1,-3.6,606,5.7,1358,,,,,,,5.2,270,1630,2.6,360,1150,1.3,1154,-15.6,17,1323,30.5,1.8,1023.2,1026.4,2201,1023.5,1353,1025.4,9.8,9.2,,,,,,,,,0,0,-.5,-7,,,,,,,,,,,,,
90,2020-01-16,.7,-3.5,502,6,1402,,,,,,,5.4,290,651,3.1,290,654,1.8,1514,-13.8,17,1130,33.4,2.1,1022.2,1026,1,1022.8,1347,1024.4,9.8,8.3,,,,,,,,,2.6,1.3,0,-6.2,,,,,,,,,,,,,
